months since 1960-01-01,co2 ppmv
-21.5,315.55
-20.5,317.29
-19.5,317.34
-17.5,315.69
-16.5,314.78
-15.5,313.03
-13.5,313.18
-12.5,314.5
-11.5,315.42
-10.5,316.32
-9.5,316.49
-8.5,317.56
-7.5,318.13
-6.5,318
-5.5,316.39
-4.5,314.66
-3.5,313.68
-2.5,313.18
-1.5,314.66
-0.5,315.43
0.5,316.27
1.5,316.81
2.5,317.42
3.5,318.87
4.5,319.87
5.5,319.43
6.5,318.01
7.5,315.75
8.5,314
9.5,313.68
10.5,314.84
11.5,316.03
12.5,316.73
13.5,317.54
14.5,318.38
15.5,319.31
16.5,320.42
17.5,319.61
18.5,318.42
19.5,316.64
20.5,314.83
21.5,315.15
22.5,315.95
23.5,316.85
24.5,317.78
25.5,318.4
26.5,319.53
27.5,320.41
28.5,320.85
29.5,320.45
30.5,319.44
31.5,317.25
32.5,316.12
33.5,315.27
34.5,316.53
35.5,317.53
36.5,318.58
37.5,318.92
38.5,319.7
39.5,321.22
40.5,322.08
41.5,321.31
42.5,319.58
43.5,317.61
44.5,316.05
45.5,315.83
46.5,316.91
47.5,318.2
48.5,319.41
52.5,322.06
53.5,321.73
54.5,320.27
55.5,318.54
56.5,316.54
57.5,316.71
58.5,317.53
59.5,318.55
60.5,319.27
61.5,320.28
62.5,320.73
63.5,321.97
64.5,322
65.5,321.71
66.5,321.05
67.5,318.71
68.5,317.65
69.5,317.14
70.5,318.71
71.5,319.25
72.5,320.46
73.5,321.43
74.5,322.22
75.5,323.54
76.5,323.91
77.5,323.59
78.5,322.26
79.5,320.21
80.5,318.48
81.5,317.94
82.5,319.63
83.5,320.87
84.5,322.17
85.5,322.34
86.5,322.88
87.5,324.25
88.5,324.83
89.5,323.93
90.5,322.39
91.5,320.76
92.5,319.1
93.5,319.23
94.5,320.56
95.5,321.8
96.5,322.4
97.5,322.99
98.5,323.73
99.5,324.86
100.5,325.41
101.5,325.19
102.5,323.97
103.5,321.92
104.5,320.1
105.5,319.96
106.5,320.97
107.5,322.48
108.5,323.52
109.5,323.89
110.5,325.04
111.5,326.01
112.5,326.67
113.5,325.96
114.5,325.13
115.5,322.9
116.5,321.61
117.5,321.01
118.5,322.08
119.5,323.37
120.5,324.34
121.5,325.3
122.5,326.29
123.5,327.54
124.5,327.54
125.5,327.21
126.5,325.98
127.5,324.42
128.5,322.91
129.5,322.9
130.5,323.85
131.5,324.96
132.5,326.01
133.5,326.51
134.5,327.01
135.5,327.62
136.5,328.76
137.5,328.4
138.5,327.2
139.5,325.28
140.5,323.2
141.5,323.4
142.5,324.64
143.5,325.85
144.5,326.6
145.5,327.47
146.5,327.58
147.5,329.56
148.5,329.9
149.5,328.92
150.5,327.89
151.5,326.17
152.5,324.68
153.5,325.04
154.5,326.34
155.5,327.39
156.5,328.37
157.5,329.4
158.5,330.14
159.5,331.33
160.5,332.31
161.5,331.9
162.5,330.7
163.5,329.15
164.5,327.34
165.5,327.02
166.5,327.99
167.5,328.48
168.5,329.18
169.5,330.55
170.5,331.32
171.5,332.48
172.5,332.92
173.5,332.08
174.5,331.02
175.5,329.24
176.5,327.28
177.5,327.21
178.5,328.29
179.5,329.41
180.5,330.23
181.5,331.24
182.5,331.87
183.5,333.14
184.5,333.8
185.5,333.42
186.5,331.73
187.5,329.9
188.5,328.4
189.5,328.17
190.5,329.32
191.5,330.59
192.5,331.58
193.5,332.39
194.5,333.33
195.5,334.41
196.5,334.71
197.5,334.17
198.5,332.88
199.5,330.77
200.5,329.14
201.5,328.77
202.5,330.14
203.5,331.52
204.5,332.75
205.5,333.25
206.5,334.53
207.5,335.9
208.5,336.57
209.5,336.1
210.5,334.76
211.5,332.59
212.5,331.41
213.5,330.98
214.5,332.24
215.5,333.68
216.5,334.8
217.5,335.22
218.5,336.47
219.5,337.59
220.5,337.84
221.5,337.72
222.5,336.37
223.5,334.51
224.5,332.6
225.5,332.37
226.5,333.75
227.5,334.79
228.5,336.05
229.5,336.59
230.5,337.79
231.5,338.71
232.5,339.3
233.5,339.12
234.5,337.56
235.5,335.92
236.5,333.74
237.5,333.7
238.5,335.13
239.5,336.56
240.5,337.84
241.5,338.19
242.5,339.9
243.5,340.6
244.5,341.29
245.5,341
246.5,339.39
247.5,337.43
248.5,335.72
249.5,335.84
250.5,336.93
251.5,338.04
252.5,339.06
253.5,340.3
254.5,341.21
255.5,342.33
256.5,342.74
257.5,342.07
258.5,340.32
259.5,338.27
260.5,336.52
261.5,336.68
262.5,338.19
263.5,339.44
264.5,340.57
265.5,341.44
266.5,342.53
267.5,343.39
268.5,343.96
269.5,343.18
270.5,341.88
271.5,339.65
272.5,337.8
273.5,337.69
274.5,339.09
275.5,340.32
276.5,341.2
277.5,342.35
278.5,342.93
279.5,344.77
280.5,345.58
281.5,345.14
282.5,343.81
283.5,342.22
284.5,339.69
285.5,339.82
286.5,340.98
287.5,342.82
288.5,343.52
289.5,344.33
290.5,345.11
291.5,346.88
292.5,347.25
293.5,346.61
294.5,345.22
295.5,343.11
296.5,340.9
297.5,341.17
298.5,342.8
299.5,344.04
300.5,344.79
301.5,345.82
302.5,347.25
303.5,348.17
304.5,348.75
305.5,348.07
306.5,346.38
307.5,344.52
308.5,342.92
309.5,342.63
310.5,344.06
311.5,345.38
312.5,346.11
313.5,346.79
314.5,347.68
315.5,349.37
316.5,350.03
317.5,349.37
318.5,347.77
319.5,345.74
320.5,344.68
321.5,343.99
322.5,345.48
323.5,346.73
324.5,347.84
325.5,348.3
326.5,349.24
327.5,350.81
328.5,351.67
329.5,351.08
330.5,349.34
331.5,347.93
332.5,346.28
333.5,346.19
334.5,347.64
335.5,348.79
336.5,350.25
337.5,351.54
338.5,352.04
339.5,353.41
340.5,354.03
341.5,353.62
342.5,352.2
343.5,350.25
344.5,348.53
345.5,348.69
346.5,349.87
347.5,351.15
348.5,352.56
349.5,352.87
350.5,353.48
351.5,355.21
352.5,355.47
353.5,354.92
354.5,353.7
355.5,351.47
356.5,349.59
357.5,349.78
358.5,351.09
359.5,352.33
360.5,353.45
361.5,354.5
362.5,355.18
363.5,355.99
364.5,356.95
365.5,356.03
366.5,354.62
367.5,352.72
368.5,350.77
369.5,351
370.5,352.66
371.5,354.04
372.5,354.55
373.5,355.59
374.5,357
375.5,358.44
376.5,359.19
377.5,358.09
378.5,356.03
379.5,353.89
380.5,352.02
381.5,352.08
382.5,353.62
383.5,354.87
384.5,355.86
385.5,356.61
386.5,357.7
387.5,359.05
388.5,359.57
389.5,359.16
390.5,356.93
391.5,354.92
392.5,352.93
393.5,353.23
394.5,354.09
395.5,355.34
396.5,356.64
397.5,357.11
398.5,358.32
399.5,359.41
400.5,360.24
401.5,359.55
402.5,357.52
403.5,355.47
404.5,353.64
405.5,353.92
406.5,355.26
407.5,356.72
408.5,358.28
409.5,358.83
410.5,359.88
411.5,361.17
412.5,361.58
413.5,360.84
414.5,359.44
415.5,357.37
416.5,355.72
417.5,355.86
418.5,357.45
419.5,358.9
420.5,359.82
421.5,360.86
422.5,361.49
423.5,363.3
424.5,363.63
425.5,363.1
426.5,361.73
427.5,359.28
428.5,357.87
429.5,357.56
430.5,359.36
431.5,360.49
