id,exchange,symbol,date,price,amount,bid
9998428,cb,btcusd,1.46785E+12,678.79,0.02,FALSE
9998430,cb,btcusd,1.46785E+12,678.78,0.6352,TRUE
9998429,cb,btcusd,1.46785E+12,678.78,0.101,TRUE
9998431,cb,btcusd,1.46785E+12,678.78,0.0208,TRUE
9998432,cb,btcusd,1.46785E+12,678.77,0.012,TRUE
9998433,cb,btcusd,1.46785E+12,678.7,0.117,TRUE
9998434,cb,btcusd,1.46785E+12,678.62,0.025,TRUE
9998435,cb,btcusd,1.46785E+12,678.62,0.1,TRUE
9998436,cb,btcusd,1.46785E+12,678.54,0.108,TRUE
9998437,cb,btcusd,1.46785E+12,678.46,0.012,TRUE
9998438,cb,btcusd,1.46785E+12,678.46,0.086,TRUE
9998440,cb,btcusd,1.46785E+12,678.4,0.012,TRUE
9998439,cb,btcusd,1.46785E+12,678.44,0.012,TRUE
9998444,cb,btcusd,1.46785E+12,678.15,0.012,TRUE
9998442,cb,btcusd,1.46785E+12,678.32,0.012,TRUE
9998443,cb,btcusd,1.46785E+12,678.2,0.01,TRUE
9998441,cb,btcusd,1.46785E+12,678.38,0.099,TRUE
9998446,cb,btcusd,1.46785E+12,678.03,0.13,TRUE
9998445,cb,btcusd,1.46785E+12,678.04,0.34,TRUE
9998447,cb,btcusd,1.46785E+12,678.75,0.025,TRUE
9998448,cb,btcusd,1.46785E+12,678.75,0.7502,TRUE
9998449,cb,btcusd,1.46785E+12,678.04,0.90231,TRUE
9998450,cb,btcusd,1.46785E+12,678.77,0.5115,TRUE
9998451,cb,btcusd,1.46785E+12,678.65,0.07128,FALSE
9998452,cb,btcusd,1.46785E+12,678.05,0.069,TRUE
9998453,cb,btcusd,1.46785E+12,678.08,0.13674,FALSE
9998454,cb,btcusd,1.46785E+12,678.08,0.06216,FALSE
9998455,cb,btcusd,1.46785E+12,678.08,0.07746,FALSE
9998456,cb,btcusd,1.46785E+12,678.08,0.72364,FALSE
9998457,cb,btcusd,1.46785E+12,678.08,0.38636,FALSE
9998458,cb,btcusd,1.46785E+12,678.08,0.32767,FALSE
9998459,cb,btcusd,1.46785E+12,678.08,0.10587883,FALSE
9998460,cb,btcusd,1.46785E+12,678.07,0.012,TRUE
9998461,cb,btcusd,1.46785E+12,678.07,0.071,TRUE
9998463,cb,btcusd,1.46785E+12,678.07,0.2032,TRUE
9998464,cb,btcusd,1.46785E+12,678.06,0.012,TRUE
9998462,cb,btcusd,1.46785E+12,678.07,0.3223,TRUE
9998465,cb,btcusd,1.46785E+12,678.04,0.025,TRUE
9998466,cb,btcusd,1.46785E+12,678.02,0.1753,TRUE
9998467,cb,btcusd,1.46785E+12,678.01,0.025,TRUE
9998469,cb,btcusd,1.46785E+12,677.86,0.025,TRUE
9998468,cb,btcusd,1.46785E+12,677.91,0.025,TRUE
9998472,cb,btcusd,1.46785E+12,677.83,0.1753,TRUE
9998470,cb,btcusd,1.46785E+12,677.85,0.48,TRUE
9998471,cb,btcusd,1.46785E+12,677.84,0.17,TRUE
9998473,cb,btcusd,1.46785E+12,677.82,0.025,TRUE
9998474,cb,btcusd,1.46785E+12,677.76,0.025,TRUE
9998475,cb,btcusd,1.46785E+12,677.72,0.13663,TRUE
9998476,cb,btcusd,1.46785E+12,677.89,0.012,TRUE
9998477,cb,btcusd,1.46785E+12,677.72,0.53006,TRUE
9998478,cb,btcusd,1.46785E+12,678.06,0.025,FALSE
9998479,cb,btcusd,1.46785E+12,678.06,0.02242,FALSE
9998480,cb,btcusd,1.46785E+12,677.72,0.17406,TRUE
9998481,cb,btcusd,1.46785E+12,677.89,0.012,TRUE
9998482,cb,btcusd,1.46785E+12,677.85,0.31,TRUE
9998483,cb,btcusd,1.46785E+12,677.84,0.17,TRUE
9998484,cb,btcusd,1.46785E+12,677.72,0.53,TRUE
9998485,cb,btcusd,1.46785E+12,677.7,0.02004431,TRUE
9998486,cb,btcusd,1.46785E+12,677.69,0.025,TRUE
9998487,cb,btcusd,1.46785E+12,677.68,0.025,TRUE
9998488,cb,btcusd,1.46785E+12,677.66,0.025,TRUE
9998489,cb,btcusd,1.46785E+12,677.65,0.025,TRUE
